commit_sha,refactoring_type,instance_count,is_self_affirmed
23db1a8975f38c225048328e1a221726811f066a,Add Class Modifier,1,True
245d2391b216e2c03c60e8c3115948b8d918c1fe,Change Attribute Type,1,True
245d2391b216e2c03c60e8c3115948b8d918c1fe,Change Parameter Type,4,True
245d2391b216e2c03c60e8c3115948b8d918c1fe,Change Return Type,1,True
245d2391b216e2c03c60e8c3115948b8d918c1fe,Extract Interface,1,True
245d2391b216e2c03c60e8c3115948b8d918c1fe,Extract Superclass,1,True
245d2391b216e2c03c60e8c3115948b8d918c1fe,Pull Up Method,2,True
24bbc6c03824bb888c545a68d098e331886c6fbe,Extract Variable,2,True
25c11518d89d5f79892517ca2b8501dd511cb970,Add Class Annotation,1,True
25c11518d89d5f79892517ca2b8501dd511cb970,Add Method Annotation,1,True
25c11518d89d5f79892517ca2b8501dd511cb970,Change Type Declaration Kind,1,True
25c11518d89d5f79892517ca2b8501dd511cb970,Extract Interface,1,True
25c11518d89d5f79892517ca2b8501dd511cb970,Rename Class,1,True
25fb365fefa37aec936725277ae31c2e66c07ecc,Extract Method,1,True
25fb365fefa37aec936725277ae31c2e66c07ecc,Move Class,1,True
25fb365fefa37aec936725277ae31c2e66c07ecc,Rename Variable,1,True
2605396ee9e70d3baf89ad99ca4f092950bb22f1,Add Class Annotation,1,True
2605396ee9e70d3baf89ad99ca4f092950bb22f1,Rename Method,1,True
260596708d957d067eb8d30e64c9aaffffe68b4e,Add Attribute Modifier,18,True
260596708d957d067eb8d30e64c9aaffffe68b4e,Change Type Declaration Kind,5,True
269b3ac8b5b20c44537f3f68301f5e67a6fd0c3a,Change Variable Type,4,True
269b3ac8b5b20c44537f3f68301f5e67a6fd0c3a,Remove Method Annotation,2,True
26f1cca376ea6b90fdcc83ac46403d4dbdba2795,Extract Method,1,True
26f1cca376ea6b90fdcc83ac46403d4dbdba2795,Extract Variable,1,True
26f1cca376ea6b90fdcc83ac46403d4dbdba2795,Inline Variable,10,True
2700b3efc7608e87c3d329d20f1b3545813bf18b,Change Return Type,1,True
2700b3efc7608e87c3d329d20f1b3545813bf18b,Rename Parameter,5,True
280f1cf65fbbf84684a96686a229a0e80980fc4f,Rename Parameter,3,True
28417eabdd8a256e53220af4c0e697cfea20644d,Modify Class Annotation,1,True
28417eabdd8a256e53220af4c0e697cfea20644d,Modify Method Annotation,2,True
286233491de7faa2da27184956fb0bb6e1f0e7d5,Change Attribute Type,68,True
286233491de7faa2da27184956fb0bb6e1f0e7d5,Change Parameter Type,8,True
286233491de7faa2da27184956fb0bb6e1f0e7d5,Change Return Type,18,True
286233491de7faa2da27184956fb0bb6e1f0e7d5,Change Variable Type,68,True
286233491de7faa2da27184956fb0bb6e1f0e7d5,Rename Class,4,True
28abeeee343304b3a9c850e3e95bf93bfe1a45bd,Add Method Annotation,1,True
28abeeee343304b3a9c850e3e95bf93bfe1a45bd,Change Attribute Type,1,True
28abeeee343304b3a9c850e3e95bf93bfe1a45bd,Change Return Type,1,True
28abeeee343304b3a9c850e3e95bf93bfe1a45bd,Extract Method,1,True
28abeeee343304b3a9c850e3e95bf93bfe1a45bd,Remove Method Annotation,2,True
28e06033635496f294b7b527e631f28e2dbbe04c,Extract Variable,2,True
28e9ea6087d7a88b2e360b91c48616e745656155,Modify Method Annotation,2,True
29440b1aafaea0779ba50c22e442d41ad3522e60,Extract Method,1,True
29440b1aafaea0779ba50c22e442d41ad3522e60,Rename Parameter,1,True
29440b1aafaea0779ba50c22e442d41ad3522e60,Rename Variable,1,True
2b7832827735e92e83f68fc7eb5426a1f3f1184d,Change Attribute Type,5,True
2b7832827735e92e83f68fc7eb5426a1f3f1184d,Change Parameter Type,3,True
2b7832827735e92e83f68fc7eb5426a1f3f1184d,Change Return Type,2,True
2b7832827735e92e83f68fc7eb5426a1f3f1184d,Change Variable Type,39,True
2b7832827735e92e83f68fc7eb5426a1f3f1184d,Rename Class,44,True
2ba2ced244973aaccbff1c119bea6aef3bb32837,Change Variable Type,3,True
2ba2ced244973aaccbff1c119bea6aef3bb32837,Extract Method,1,True
2ba2ced244973aaccbff1c119bea6aef3bb32837,Extract Variable,1,True
2ba2ced244973aaccbff1c119bea6aef3bb32837,Inline Method,1,True
2ba2ced244973aaccbff1c119bea6aef3bb32837,Inline Variable,2,True
2ba2ced244973aaccbff1c119bea6aef3bb32837,Rename Variable,1,True
2bbeab436f36992fdf58430f104076138ab571a7,Reorder Parameter,2,True
2bc788452618e10d03d4a30b0c3a3dc2239c15ac,Change Variable Type,1,True
2bc788452618e10d03d4a30b0c3a3dc2239c15ac,Rename Variable,1,True
2bd4034738d30b18a54b9597812435654ff2f14e,Change Return Type,2,True
2c8df8d5199369a7289f485da94b1507814080b4,Rename Class,1,True
2d2e2f6b690e07e0dbb7b6e2966c464c70f8cb6d,Add Parameter,1,True
2d2e2f6b690e07e0dbb7b6e2966c464c70f8cb6d,Change Return Type,1,True
2d2e2f6b690e07e0dbb7b6e2966c464c70f8cb6d,Change Variable Type,1,True
2d2e2f6b690e07e0dbb7b6e2966c464c70f8cb6d,Modify Method Annotation,1,True
2d5551c2ee3cb37fa79edfbe394049b43fb4039e,Extract Variable,5,True
2d61f4b2774a2895f08c8575769aa665a6241552,Rename Attribute,29,True
2d61f4b2774a2895f08c8575769aa665a6241552,Rename Parameter,5,True
2d61f4b2774a2895f08c8575769aa665a6241552,Rename Variable,2,True
2e43ba4ef193c2e15f613fc09eb30068afa94bcf,Add Attribute Annotation,7,True
2e43ba4ef193c2e15f613fc09eb30068afa94bcf,Remove Attribute Annotation,7,True
2f08694413947a1405d2daebe0329a2bd69fbf29,Modify Class Annotation,2,True
2f4b6999d6c14ddf1cf9ab335e280935c4437360,Add Method Annotation,2,True
2f4b6999d6c14ddf1cf9ab335e280935c4437360,Add Parameter,2,True
2f4b6999d6c14ddf1cf9ab335e280935c4437360,Change Attribute Type,3,True
2f4b6999d6c14ddf1cf9ab335e280935c4437360,Change Method Access Modifier,2,True
2f4b6999d6c14ddf1cf9ab335e280935c4437360,Change Variable Type,3,True
2f4b6999d6c14ddf1cf9ab335e280935c4437360,Inline Variable,1,True
2f4b6999d6c14ddf1cf9ab335e280935c4437360,Move And Rename Class,3,True
2f4b6999d6c14ddf1cf9ab335e280935c4437360,Move And Rename Method,2,True
2f4b6999d6c14ddf1cf9ab335e280935c4437360,Move Attribute,5,True
2f4b6999d6c14ddf1cf9ab335e280935c4437360,Move Class,4,True
2f4b6999d6c14ddf1cf9ab335e280935c4437360,Move Method,2,True
2f4b6999d6c14ddf1cf9ab335e280935c4437360,Remove Attribute Modifier,3,True
2f4b6999d6c14ddf1cf9ab335e280935c4437360,Rename Method,1,True
2f4b6999d6c14ddf1cf9ab335e280935c4437360,Rename Parameter,1,True
2f4b6999d6c14ddf1cf9ab335e280935c4437360,Replace Variable With Attribute,1,True
2f4b6999d6c14ddf1cf9ab335e280935c4437360,Split Class,1,True
3078d7f9d953a19cdddcd0faacc53eca9f6fabc8,Remove Method Annotation,1,True
31844e2b087f0c577eb203ad443a7d2bd6dacfd7,Add Parameter,4,True
31844e2b087f0c577eb203ad443a7d2bd6dacfd7,Extract Method,1,True
31844e2b087f0c577eb203ad443a7d2bd6dacfd7,Inline Variable,1,True
31844e2b087f0c577eb203ad443a7d2bd6dacfd7,Localize Parameter,1,True
31c4b70fd888bd69ac197f310dfa345970e71b62,Change Parameter Type,1,True
31c4b70fd888bd69ac197f310dfa345970e71b62,Merge Conditional,1,True
32c6708949e4d95d24564489bdc6474ae6a31ae2,Extract Method,1,True
32c6708949e4d95d24564489bdc6474ae6a31ae2,Rename Variable,1,True
