commit_sha,metric,before_total,after_total,delta_total,observation_count,improvement_rate_pct
0418796f63b1194e5875eba567f1392f39c00b35,CC,11.0,10.0,-1.0,1,9.090909090909092
0418796f63b1194e5875eba567f1392f39c00b35,LOC,45.0,41.0,-4.0,1,8.88888888888889
0418796f63b1194e5875eba567f1392f39c00b35,PC,1.0,1.0,0.0,1,0.0
042150c83082a1d7e2672accf3e67f6610db5779,CC,1.0,1.0,0.0,1,0.0
042150c83082a1d7e2672accf3e67f6610db5779,LOC,5.0,5.0,0.0,1,0.0
042150c83082a1d7e2672accf3e67f6610db5779,PC,0.0,0.0,0.0,1,
0422c23a864110f5feaadf5a1b409687898faef3,CC,10.0,10.0,0.0,2,0.0
0422c23a864110f5feaadf5a1b409687898faef3,LOC,228.0,152.0,-76.0,2,33.33333333333333
0422c23a864110f5feaadf5a1b409687898faef3,PC,2.0,1.0,-1.0,2,50.0
0453bbd3b0fde274f7a40bcb4a31a983f0db82d4,CC,7.0,7.0,0.0,3,0.0
0453bbd3b0fde274f7a40bcb4a31a983f0db82d4,LOC,37.0,38.0,1.0,3,-2.7027027027027026
0453bbd3b0fde274f7a40bcb4a31a983f0db82d4,PC,4.0,7.0,3.0,3,-75.0
045ecbd1ce065f93357d53fe1a98ca8eee46d708,CC,3.0,1.0,-2.0,1,66.66666666666666
045ecbd1ce065f93357d53fe1a98ca8eee46d708,LOC,19.0,3.0,-16.0,1,84.21052631578947
045ecbd1ce065f93357d53fe1a98ca8eee46d708,PC,0.0,0.0,0.0,1,
046c036ca3fee06ee7b72d18df631b7fcb4520bf,CC,2.0,2.0,0.0,2,0.0
046c036ca3fee06ee7b72d18df631b7fcb4520bf,LOC,32.0,32.0,0.0,2,0.0
046c036ca3fee06ee7b72d18df631b7fcb4520bf,PC,6.0,8.0,2.0,2,-33.33333333333333
0471892a5ab77e1fad2fd235c51f68b54f3e112f,CC,8.0,16.0,8.0,2,-100.0
0471892a5ab77e1fad2fd235c51f68b54f3e112f,LOC,49.0,100.0,51.0,2,-104.08163265306123
0471892a5ab77e1fad2fd235c51f68b54f3e112f,PC,7.0,10.0,3.0,2,-42.857142857142854
048376d2a8811ce581c029699154b25d6ec6a71c,CC,15.0,11.0,-4.0,11,26.666666666666668
048376d2a8811ce581c029699154b25d6ec6a71c,LOC,48.0,30.0,-18.0,11,37.5
048376d2a8811ce581c029699154b25d6ec6a71c,PC,3.0,3.0,0.0,11,0.0
048714e11723c39816b0d183f70e538c85d73cc4,CC,3.0,4.0,1.0,3,-33.33333333333333
048714e11723c39816b0d183f70e538c85d73cc4,LOC,40.0,35.0,-5.0,3,12.5
048714e11723c39816b0d183f70e538c85d73cc4,PC,9.0,10.0,1.0,3,-11.11111111111111
0495b0c959727458b1d6464550389b56874ec302,CC,3.0,3.0,0.0,3,0.0
0495b0c959727458b1d6464550389b56874ec302,LOC,9.0,9.0,0.0,3,0.0
0495b0c959727458b1d6464550389b56874ec302,PC,0.0,0.0,0.0,3,
04a4372c4c47b7872722134d246a95c10115c08e,CC,18.0,18.0,0.0,4,0.0
04a4372c4c47b7872722134d246a95c10115c08e,LOC,137.0,131.0,-6.0,4,4.37956204379562
04a4372c4c47b7872722134d246a95c10115c08e,PC,3.0,3.0,0.0,4,0.0
04a789076cd3507799c575a2cc42a27d613c81ed,CC,2.0,2.0,0.0,2,0.0
04a789076cd3507799c575a2cc42a27d613c81ed,LOC,6.0,6.0,0.0,2,0.0
04a789076cd3507799c575a2cc42a27d613c81ed,PC,1.0,1.0,0.0,2,0.0
04acbcc10e19b0f26f4169f7fed91e9a0aabc12d,CC,59.0,67.0,8.0,48,-13.559322033898304
04acbcc10e19b0f26f4169f7fed91e9a0aabc12d,LOC,267.0,339.0,72.0,48,-26.96629213483146
04acbcc10e19b0f26f4169f7fed91e9a0aabc12d,PC,35.0,37.0,2.0,48,-5.714285714285714
04c8f6fcdb08f45cc4856da8b6d681ec8c28011d,CC,1.0,1.0,0.0,1,0.0
04c8f6fcdb08f45cc4856da8b6d681ec8c28011d,LOC,3.0,5.0,2.0,1,-66.66666666666666
04c8f6fcdb08f45cc4856da8b6d681ec8c28011d,PC,0.0,1.0,1.0,1,
04cb39b43911c113246648c2c2084c0d24ca5e1e,CC,4.0,4.0,0.0,4,0.0
04cb39b43911c113246648c2c2084c0d24ca5e1e,LOC,20.0,20.0,0.0,4,0.0
04cb39b43911c113246648c2c2084c0d24ca5e1e,PC,8.0,8.0,0.0,4,0.0
04d26b7cb2a8af7ed260990b262f4cec43f1714a,CC,10.0,7.0,-3.0,2,30.0
04d26b7cb2a8af7ed260990b262f4cec43f1714a,LOC,48.0,30.0,-18.0,2,37.5
04d26b7cb2a8af7ed260990b262f4cec43f1714a,PC,2.0,3.0,1.0,2,-50.0
04e0f9c4a24d524f646b220fce99d31848d98e10,CC,46.0,46.0,0.0,10,0.0
04e0f9c4a24d524f646b220fce99d31848d98e10,LOC,148.0,183.0,35.0,10,-23.64864864864865
04e0f9c4a24d524f646b220fce99d31848d98e10,PC,25.0,25.0,0.0,10,0.0
04eb96b1cb251a33168fb78936b57e9167701722,CC,1.0,1.0,0.0,1,0.0
04eb96b1cb251a33168fb78936b57e9167701722,LOC,4.0,4.0,0.0,1,0.0
04eb96b1cb251a33168fb78936b57e9167701722,PC,1.0,2.0,1.0,1,-100.0
04ef8058fcfdde0d6eaf9f94b0aad51f507d26ac,CC,1.0,1.0,0.0,1,0.0
04ef8058fcfdde0d6eaf9f94b0aad51f507d26ac,LOC,3.0,3.0,0.0,1,0.0
04ef8058fcfdde0d6eaf9f94b0aad51f507d26ac,PC,1.0,1.0,0.0,1,0.0
04f080178e7aeff95dbb580f62ecd46ad4878377,CC,1.0,1.0,0.0,1,0.0
04f080178e7aeff95dbb580f62ecd46ad4878377,LOC,7.0,7.0,0.0,1,0.0
04f080178e7aeff95dbb580f62ecd46ad4878377,PC,0.0,0.0,0.0,1,
04fb4648f9a1f40cfff4ddeb66b47d91a36d9dd2,CC,1.0,1.0,0.0,1,0.0
04fb4648f9a1f40cfff4ddeb66b47d91a36d9dd2,LOC,3.0,4.0,1.0,1,-33.33333333333333
04fb4648f9a1f40cfff4ddeb66b47d91a36d9dd2,PC,1.0,2.0,1.0,1,-100.0
050374badf936faf23b71a41f64fe0618e2f0135,CC,6.0,6.0,0.0,2,0.0
050374badf936faf23b71a41f64fe0618e2f0135,LOC,25.0,25.0,0.0,2,0.0
050374badf936faf23b71a41f64fe0618e2f0135,PC,5.0,6.0,1.0,2,-20.0
052f447ec6ca54373e84ee885cb930afa9e9c603,CC,3.0,4.0,1.0,2,-33.33333333333333
052f447ec6ca54373e84ee885cb930afa9e9c603,LOC,16.0,19.0,3.0,2,-18.75
052f447ec6ca54373e84ee885cb930afa9e9c603,PC,2.0,2.0,0.0,2,0.0
05330118f39f92759de9dfc401a9dab7afa72494,CC,6.0,5.0,-1.0,2,16.666666666666664
05330118f39f92759de9dfc401a9dab7afa72494,LOC,22.0,16.0,-6.0,2,27.27272727272727
05330118f39f92759de9dfc401a9dab7afa72494,PC,8.0,5.0,-3.0,2,37.5
054074fc3385fb373ea5801db81ce1719dacef43,CC,21.0,21.0,0.0,1,0.0
054074fc3385fb373ea5801db81ce1719dacef43,LOC,105.0,105.0,0.0,1,0.0
054074fc3385fb373ea5801db81ce1719dacef43,PC,1.0,1.0,0.0,1,0.0
0570cd7fe6c7e96fd17711b6512f2c588c99930a,CC,1.0,1.0,0.0,1,0.0
0570cd7fe6c7e96fd17711b6512f2c588c99930a,LOC,4.0,5.0,1.0,1,-25.0
0570cd7fe6c7e96fd17711b6512f2c588c99930a,PC,1.0,2.0,1.0,1,-100.0
0595378a14e3fca187500960ee16af502b7b17fe,CC,2.0,2.0,0.0,2,0.0
0595378a14e3fca187500960ee16af502b7b17fe,LOC,38.0,22.0,-16.0,2,42.10526315789473
0595378a14e3fca187500960ee16af502b7b17fe,PC,6.0,5.0,-1.0,2,16.666666666666664
05a050f17a655cb37086acbd76eacb93b94db028,CC,2.0,2.0,0.0,1,0.0
05a050f17a655cb37086acbd76eacb93b94db028,LOC,38.0,38.0,0.0,1,0.0
05a050f17a655cb37086acbd76eacb93b94db028,PC,1.0,1.0,0.0,1,0.0
05aaf663d86c9ca8eaf9095ed07ae49fb2467f51,CC,1.0,1.0,0.0,1,0.0
05aaf663d86c9ca8eaf9095ed07ae49fb2467f51,LOC,5.0,6.0,1.0,1,-20.0
05aaf663d86c9ca8eaf9095ed07ae49fb2467f51,PC,3.0,4.0,1.0,1,-33.33333333333333
05b27028dd429dc1afd0cde262c1b30ad3def29d,CC,4.0,3.0,-1.0,2,25.0
05b27028dd429dc1afd0cde262c1b30ad3def29d,LOC,14.0,10.0,-4.0,2,28.57142857142857
05b27028dd429dc1afd0cde262c1b30ad3def29d,PC,2.0,2.0,0.0,2,0.0
05b57d1dd05fd8e9dcc7e9f6c3f39c9abcb12d84,CC,18.0,8.0,-10.0,2,55.55555555555556
05b57d1dd05fd8e9dcc7e9f6c3f39c9abcb12d84,LOC,110.0,33.0,-77.0,2,70.0
05b57d1dd05fd8e9dcc7e9f6c3f39c9abcb12d84,PC,2.0,2.0,0.0,2,0.0
05cb1e42c5dc5f6f5a187cb27713b37e000e67e0,CC,5.0,5.0,0.0,5,0.0
05cb1e42c5dc5f6f5a187cb27713b37e000e67e0,LOC,22.0,22.0,0.0,5,0.0
05cb1e42c5dc5f6f5a187cb27713b37e000e67e0,PC,12.0,12.0,0.0,5,0.0
05cfe4a843bcf6fc141c14ab15dec213cff3b76b,CC,1.0,1.0,0.0,1,0.0
05cfe4a843bcf6fc141c14ab15dec213cff3b76b,LOC,12.0,25.0,13.0,1,-108.33333333333333
05cfe4a843bcf6fc141c14ab15dec213cff3b76b,PC,0.0,0.0,0.0,1,
05dd42cb17b4648c913e50ce887238c88f7801e2,CC,5.0,7.0,2.0,2,-40.0
05dd42cb17b4648c913e50ce887238c88f7801e2,LOC,17.0,27.0,10.0,2,-58.82352941176471
05dd42cb17b4648c913e50ce887238c88f7801e2,PC,2.0,3.0,1.0,2,-50.0
06076aeeb19bbc235caf41e4cf13d612c04a1780,CC,3.0,4.0,1.0,3,-33.33333333333333
06076aeeb19bbc235caf41e4cf13d612c04a1780,LOC,13.0,18.0,5.0,3,-38.46153846153847
06076aeeb19bbc235caf41e4cf13d612c04a1780,PC,2.0,5.0,3.0,3,-150.0
0607fed10c0d5e7b36f5bb58a40000f0a0dadfda,CC,5.0,6.0,1.0,5,-20.0
